,title,description,topic,,
0,Cột khói đen hàng trăm mét bao trùm xưởng in ,"Hải PhòngSau bốn tiếng, đám cháy từ xưởng sản xuất mực máy in ở tổng kho An Hồng, xã An Hồng, huyện An Dương, vẫn bốc cao hàng trăm mét.",thoi-su,,
1,Tổng Bí thư: Đẩy mạnh công nghiệp hóa đất nước là nhiệm vụ hàng đầu ,"Tiếp tục đẩy mạnh công nghiệp hóa, hiện đại hóa đất nước đến năm 2030, tầm nhìn đến năm 2045 là nhiệm vụ chiến lược, quan trọng hàng đầu, theo Tổng Bí thư Nguyễn Phú Trọng.",thoi-su,,
2,"Xe khách đâm ôtô đầu kéo vừa cháy, 9 người bị thương ","Bình ThuậnXe bồn khi đang chở xỉ than trên quốc lộ 1A, huyện Hàm Thuận Nam, bốc cháy, sau đó bị ôtô khách tông từ phía sau, 9 người bị thương.",thoi-su,,
3,Người đưa mo cau ra thế giới ,"Quảng NgãiĐam mê làm giàu từ phế phẩm nông nghiệp, anh Nguyễn Văn Tuyến, 38 tuổi, đã biến mo cau thành chén đĩa, xuất đi Hàn Quốc, Canada, Mỹ...",thoi-su,,
4,Xây phòng cho ốc 'ngủ' thu nhập hàng trăm triệu đồng ,"Đồng ThápXây dựng phòng kín, điều kiện môi trường phù hợp để ốc ngủ đông sau đó đem đi bán, Lê Hồng Lâm lãi hàng trăm triệu đồng mỗi năm.",thoi-su,,
5,Người đàn ông ném tiền lẻ tung toé trong quán ăn ,"Đà NẵngNgày 2/10, chủ quán bún đăng Facebook video có nội dung người đàn ông trung niên vào quán, lớn tiếng hỏi ai đã thối tiền lẻ cho con mình và gọi đó là ""rác"".",thoi-su,,
6,Người dân bất lực nhìn lũ ống tàn phá ,"Nghệ AnTrong tiếng nước ào ào, chị Lương Thị Dung hét lớn rồi bất lực nhìn chiếc tủ lạnh nổi lềnh bềnh, ba xe máy cùng xe đạp điện bị bùn đất bao trùm.",thoi-su,,
7,Cố gắng hoàn thành cao tốc Bến Lức - Long Thành năm 2024 ,"Đồng NaiLàm việc với lãnh đạo Quốc hội, chủ đầu tư cao tốc Bến Lức - Long Thành cho biết cố gắng hoàn thành dự án trong năm 2024.",thoi-su,,
8,Miền Bắc đón gió mùa đông bắc từ ngày 9/10 ,"Miền Bắc sẽ đón đợt gió mùa đông bắc đầu tiên vào ngày 9-10/10, nền nhiệt tại Hà Nội dao động 23-26 độ, Sa Pa (Lào Cai) 14-19 độ C.",thoi-su,,
9,Tan hoang sau cơn lũ ống lúc nửa đêm,"Nghệ AnMột bé gái tử vong, hàng chục căn nhà bị cuốn trôi, vùi lấp sau cơn lũ ống kéo dài nhiều giờ tại huyện miền núi Kỳ Sơn.",thoi-su,,
10,Rác ùn ứ vì nhà máy bị nợ hợp đồng ,"Người dân ở TP Quảng Ngãi, huyện Nghĩa Hành và Tư Nghĩa bị ngừng thu gom rác do địa phương chưa thanh toán chi phí xử lý cho nhà máy.",thoi-su,,
11,Một công nhân tử vong khi thi công đường ống trong Formosa ,Hà Tĩnh3 công nhân ở thị xã Kỳ Anh đang thi công bảo dưỡng đường ống khí trong nhà máy nhiệt điện của Formosa thì gặp sự cố khiến một người tử vong.,thoi-su,,
12,Lũ ống tàn phá huyện biên giới Nghệ An ,"Lũ ống xuất hiện lúc nửa đêm làm hàng trăm nhà dân, công sở ở huyện biên giới Kỳ Sơn ngập trong bùn đất, ôtô và xe máy bị cuốn trôi.",thoi-su,,
13,Dùng bè đưa bé 8 tháng tuổi vượt lũ tới bệnh viện ,Nghệ AnChiếc bè gắn 6 phao được 6 người đẩy qua dòng lũ để đưa bé trai 8 tháng tuổi rời bản tới bệnh viện cấp cứu.,thoi-su,,
14,Dấu tích thành cổ Champa nghìn năm ,"Quảng NgãiNằm ở bờ bắc sông Trà Khúc, thành cổ Châu Sa có niên đại hơn 1.000 năm là di tích dân sự lớn nhất vương quốc Champa.",thoi-su,,
15,Rác bủa vây vịnh Vũng Rô ,"Lượng lớn rác do hộ nuôi thuỷ sản và du khách xả ra, dạt vào vịnh Vũng Rô, thị xã Đông Hòa, gây ô nhiễm thắng cảnh nổi tiếng ở Phú Yên.",thoi-su,,
16,Bỏ phố về quê làm nước mắm ,"Quảng NamTốt nghiệp lớp chất lượng cao tiếng Anh Đại học Ngoại ngữ Đà Nẵng, anh Đức từ chối lời mời làm giáo viên, hướng dẫn viên du lịch để về làm nước mắm.",thoi-su,,
17,"Người lao động thu nhập 7,6 triệu đồng/tháng trong quý III ","Người làm công hưởng lương đạt thu nhập bình quân 7,6 triệu đồng/tháng trong quý III/2022, tăng 126.000 đồng so với quý II, theo Bộ trưởng Nguyễn Chí Dũng.",thoi-su,,
18,Săn ong vò vẽ,"Hà TĩnhNgười dân xã Sơn Hồng, huyện Hương Sơn, băng rừng, lội suối đi lấy tổ ong vò vẽ về chế biến làm thực phẩm hoặc bán kiếm lời.",thoi-su,,
19,Tai nạn liên hoàn trên cầu vượt ngã ba Huế ,"Đà NẵngTránh hai xe máy va chạm trên tầng 3 cầu vượt ngã ba Huế, ôtô 16 chỗ phía sau tông liên tiếp vào 9 phương tiện khác, làm 4 người nhập viện.",thoi-su,,
20,Đường TP HCM ngập nửa mét sau mưa lớn,"Cơn mưa kéo dài khiến nhiều đường ở TP Thủ Đức, quận Bình Thạnh, ngập sâu nửa mét, người dân bì bõm đẩy, dắt xe chết máy về nhà, chiều 1/10.",thoi-su,,
21,Nghiên cứu cơ chế đặc thù dự trữ thuốc hiếm ,"Bộ Y tế đang nghiên cứu, đề xuất Chính phủ ban hành cơ chế đặc thù về dự trữ một số loại thuốc hiếm, thuốc cần thiết cho điều trị bệnh hiếm gặp.",thoi-su,,
22,"39.500 công chức, viên chức thôi việc trong hơn hai năm ","Từ đầu năm 2020 đến giữa 2022, toàn quốc có 39.500 cán bộ, công chức, viên chức thôi việc hoặc chuyển sang khu vực tư, theo Thứ trưởng Nội vụ Nguyễn Duy Thăng.",thoi-su,,
23,Cán bộ dôi dư sau sáp nhập được khuyến khích nghỉ việc ,"Các cơ quan nghiên cứu chính sách khuyến khích cán bộ, công chức, viên chức dôi dư nghỉ việc sau sáp nhập huyện, xã giai đoạn 2022-2030, Ủy ban Thường vụ Quốc hội yêu cầu.",thoi-su,,
24,Hàng trăm cây thông bị đốn hạ ,"Lâm Đồng165 cây thông ba lá, đường kính gốc 10-45 cm bị đốn hạ, nghi để chiếm đất rừng trái phép tại xã Gia Lâm, huyện Lâm Hà.",thoi-su,,
25,Hơn 6.000 dân xã biên giới bị cô lập ,"Quảng NamMưa lớn gây sạt lở đường độc đạo lên bốn xã Tr’hy, Axan, Gari, Ch’ơm của huyện Tây Giang khiến hơn 6.000 người dân bị cô lập.",thoi-su,,
26,Thủ tướng Cuba thăm địa đạo Củ Chi ,"TP HCMThủ tướng Manuel Marrero Cruz và đoàn đại biểu Cuba đến thăm khu di tích địa đạo Củ Chi, sáng 1/10, ngày thứ tư trong chuyến thăm hữu nghị Việt Nam.",thoi-su,,
27,Thành lập thị xã Chơn Thành từ 1/10 ,"Bình PhướcChủ tịch Quốc hội Vương Đình Huệ công bố Nghị quyết của Uỷ ban Thường vụ Quốc hội thành lập thị xã Chơn Thành với 9 phường, xã, sáng 1/10.",thoi-su,,
